,IPO,IPO return,MatchFirm,MatchFirm return,Industry,IPO Date
0,1353,0.0,8172,2.7971014492753596,Consumer Cyclicals,2014-09-01
1,1439,-0.06172839506173078,8227,0.20000000000000084,Basic Materials,2014-01-13
2,1247,-0.6690391459074736,8273,,Consumer Cyclicals,2014-01-15
3,3332,-0.44360902255639156,8273,,Consumer Cyclicals,2014-01-15
4,2080,-0.6654929577464785,736,-0.03318944165310411,Real Estate,2014-01-23
5,2226,-0.513905683192261,3997,-0.03125000000000022,Consumer Non-Cyclicals,2014-01-28
6,2638,-0.018726591760298672,1250,1.1562499999999964,Utilities,2014-01-29
7,1622,0.44061302681992354,736,0.06724959849083434,Real Estate,2014-01-30
8,1636,0.4387755102040838,8227,0.376146788990825,Basic Materials,2014-02-21
9,1340,-0.4709330727894485,3997,-0.1851851851851859,Consumer Non-Cyclicals,2014-02-28
10,3636,0.16431095406360408,8010,1.0,Consumer Cyclicals,2014-06-03
11,2255,-0.3960396039603955,8273,,Consumer Cyclicals,2014-03-13
12,2608,-0.13903743315508055,736,0.17390874487122243,Real Estate,2014-03-13
13,6138,-0.06872852233676874,356,0.03448275862068906,Financials,2014-03-31
14,1400,0.2467866323907455,8273,,Consumer Cyclicals,2014-04-25
15,1771,-0.2422680412371151,8273,,Consumer Cyclicals,2014-05-15
16,1397,0.09677419354838857,8188,,Industrials,2014-05-22
17,2111,0.8773584905660401,8273,,Consumer Cyclicals,2014-05-23
18,6198,0.5309973045822107,8188,,Industrials,2014-06-06
19,2014,-0.1605351170568573,8188,,Industrials,2014-06-17
20,3903,0.018404907975460683,356,0.5172413793103439,Financials,2014-06-19
21,1330,0.527851458885942,8111,1.1167883211678822,Energy,2014-06-19
22,1375,2.1296296296296284,356,0.5103448275862059,Financials,2014-06-25
23,6128,0.10169491525423813,736,4.519230348748218,Real Estate,2014-06-25
24,1588,1.277777777777775,8249,1.8191489361702127,Technology,2014-06-27
25,2298,1.1408450704225315,8273,,Consumer Cyclicals,2014-06-26
26,1626,1.9218749999999991,8227,3.2499999999999956,Basic Materials,2014-06-27
27,3709,1.3318181818181882,8273,,Consumer Cyclicals,2014-06-27
28,3639,0.20491803278688492,736,4.543464827722565,Real Estate,2014-06-27
29,1778,1.010869565217392,736,4.3912946759602445,Real Estate,2014-06-30
30,6899,0.6880000000000015,8249,1.7567567567567601,Technology,2014-06-30
31,1450,0.5700934579439239,8249,0.9749999999999992,Technology,2014-07-07
32,2329,0.2800000000000016,736,2.9529554969970127,Real Estate,2014-07-07
33,6188,0.035353535353533916,8273,,Consumer Cyclicals,2014-08-07
34,1599,0.739726027397261,8188,,Industrials,2014-08-07
35,1321,5.0097560975609765,736,-0.29411272927918153,Real Estate,2014-10-07
36,1418,-0.14545454545454573,8273,,Consumer Cyclicals,2014-10-07
37,1848,0.07594936708860733,356,-0.4608695652173921,Financials,2014-11-07
38,1856,-0.683856502242153,8273,,Consumer Cyclicals,2014-11-07
39,1367,-0.3750000000000001,8273,,Consumer Cyclicals,2014-11-07
40,6123,-0.4957627118644069,8188,,Industrials,2014-11-07
41,1432,-0.20588235294117618,3997,0.4759036144578297,Consumer Non-Cyclicals,2014-07-15
42,2399,-0.11299999999999955,8273,,Consumer Cyclicals,2014-07-16
43,1253,2.5422343324250676,8188,,Industrials,2014-07-21
44,1365,-0.06837606837606736,8273,,Consumer Cyclicals,2014-12-08
45,6166,-0.14110429447852857,736,2.2142663779101173,Real Estate,2014-08-25
46,2221,1.172413793103452,8188,,Industrials,2014-09-19
47,1285,0.025706940874035578,3997,0.11464968152866084,Consumer Non-Cyclicals,2014-09-25
48,1395,-0.25531914893617014,1250,6.624999999999999,Utilities,2014-09-26
49,1347,-0.24860335195530692,8249,0.25423728813559276,Technology,2014-10-15
50,1462,0.9100000000000017,8188,,Industrials,2014-10-16
51,6893,-0.3211678832116778,3997,0.25517241379310107,Consumer Non-Cyclicals,2014-10-16
52,3822,0.8641975308641974,8188,,Industrials,2014-10-16
53,1289,-0.6102292768959435,8188,,Industrials,2014-11-11
54,1443,-0.34351145038167974,8273,,Consumer Cyclicals,2014-11-13
55,1305,-0.03703703703703687,8249,0.2407407407407407,Technology,2014-11-18
56,1317,0.03460207612456778,1082,-0.6641657734905323,Academic & Educational Services,2014-11-28
57,1669,-0.05325443786982231,356,-0.36969696969696997,Financials,2014-12-12
58,1958,-0.0858757062146891,8273,,Consumer Cyclicals,2014-12-19
59,3699,-0.4822695035460979,8426,-0.13461538461538436,Real Estate,2018-01-16
60,3699,-0.4822695035460979,8426,-0.13461538461538436,Real Estate,2018-01-16
61,1381,0.3717948717948705,1250,3.6449275362318883,Utilities,2014-12-29
62,2066,0.3298153034300808,356,-0.28767123287671315,Financials,2014-12-29
63,2277,0.3333333333333326,356,-0.28767123287671315,Financials,2014-12-29
64,2212,0.6000000000000001,8227,-0.1571428571428558,Basic Materials,2015-09-01
65,6866,-0.3945945945945952,263,-0.2348237597911227,Financials,2015-01-13
66,3708,0.16417910447761153,8188,,Industrials,2015-01-14
67,1993,0.039723661485319584,8010,0.0,Consumer Cyclicals,2015-01-15
68,1362,1.2282608695652142,8249,0.7142857142857113,Technology,2015-01-15
69,6161,6.661338147750939e-16,263,-0.19867895011298475,Financials,2015-01-15
70,6822,-0.008879023307434397,8010,0.0,Consumer Cyclicals,2015-01-16
71,1327,-0.7014157014157014,8010,0.0,Consumer Cyclicals,2015-01-30
72,1027,19.203488372093,8010,0.0,Consumer Cyclicals,2015-02-13
73,1858,0.06163328197226359,8197,1.2549019607843155,Healthcare,2015-11-03
74,1430,0.12499999999999734,3966,6.180722891566259,Utilities,2015-11-03
75,1566,-0.13157894736842002,8010,0.0,Consumer Cyclicals,2015-12-03
76,1310,-0.12462311557789063,8249,0.17721518987341667,Technology,2015-12-03
77,1415,-0.15951626835588795,8249,0.4642857142857131,Technology,2015-03-31
78,1245,-0.2772277227722756,8010,0.0,Consumer Cyclicals,2015-08-04
79,1500,-0.4789915966386553,8188,,Industrials,2015-04-16
80,6826,-0.24486301369863106,8197,1.7647058823529411,Healthcare,2015-04-30
81,1301,-0.6450381679389315,8188,,Industrials,2015-05-27
82,6839,-0.43310344827586233,3966,1.7380952380952426,Utilities,2015-05-27
83,1530,-0.1395604395604395,8197,1.2156862745098054,Healthcare,2015-11-06
84,6183,-0.0823529411764713,8108,-0.5243553008595987,Consumer Non-Cyclicals,2015-06-18
85,2686,-0.58273381294964,1142,-0.5799999999999994,Energy,2015-06-23
86,1528,-0.36418580556035196,8010,0.0,Consumer Cyclicals,2015-06-26
87,6133,-0.5925751879699254,8249,-0.32075471698113167,Technology,2015-06-26
88,3396,-0.5809080325960423,8301,1.0952380952380953,Technology,2015-06-29
89,1509,-0.45080763582966266,8197,3.629629629629629,Healthcare,2015-07-07
90,1461,-0.279999999999999,263,-0.7000503271263216,Financials,2015-07-07
91,6836,-0.4062499999999998,8108,-0.21746031746031746,Consumer Non-Cyclicals,2015-07-07
92,2666,-0.17674418604651154,263,-0.7086387953239546,Financials,2015-08-07
93,1498,-0.25811173456940806,8197,2.486486486486489,Healthcare,2015-08-07
94,3737,-0.04602510460251008,8108,-0.3027638190954779,Consumer Non-Cyclicals,2015-07-13
95,6896,0.6714579055441501,8197,2.4000000000000017,Healthcare,2015-07-15
96,1527,-0.08788282290279648,8188,,Industrials,2015-12-10
97,1476,-0.1510791366906462,263,-0.6764771961356997,Financials,2015-10-15
98,1533,-0.020183486238533277,8108,0.5240328253223905,Consumer Non-Cyclicals,2015-10-15
99,1532,0.13978494623656146,8010,0.0,Consumer Cyclicals,2015-10-16
100,1508,-0.31111111111111056,263,-0.655852966572097,Financials,2015-10-26
101,2799,-0.03225806451612956,263,-0.671615500754907,Financials,2015-10-30
102,1556,-0.40163934426229664,8188,,Industrials,2015-11-11
103,1452,-0.5862068965517244,8227,3.0547945205479454,Basic Materials,2015-12-11
104,3799,-0.22000000000000042,8108,0.4723926380368062,Consumer Non-Cyclicals,2015-11-20
105,1538,-0.3368983957219266,616,-0.5324959038776627,Real Estate,2015-11-25
106,6865,-0.10824742268041354,1142,-0.01639344262295006,Energy,2015-11-26
107,2289,0.08374999999999866,8108,0.5012406947890806,Consumer Non-Cyclicals,2015-12-14
108,3600,-0.3415841584158429,8197,-0.399999999999999,Healthcare,2015-12-15
109,1786,-0.3347457627118643,8188,,Industrials,2015-12-16
110,1662,0.13513513513513487,8188,,Industrials,2015-12-18
111,1543,-7.771561172376096e-16,263,-0.5572580645161289,Financials,2015-12-23
112,6196,0.191518467852259,263,-0.5572580645161289,Financials,2015-12-23
113,1558,0.0013755158184323157,8197,-0.3370165745856355,Healthcare,2015-12-29
114,1568,1.899999999999995,8010,0.0,Consumer Cyclicals,2015-12-29
115,1548,1.568597560975601,8197,-0.35135135135135187,Healthcare,2015-12-30
116,1799,-0.249999999999999,8227,1.880000000000003,Basic Materials,2015-12-30
117,3678,-0.15228426395939065,263,-0.5862903225806451,Financials,2015-12-30
118,3326,0.13233287858117682,442,1.116883116883117,Consumer Cyclicals,2016-04-01
119,3773,-0.011627906976745872,8301,0.5918367346938802,Technology,2016-07-01
120,1459,-0.3272727272727276,8188,,Industrials,2016-12-01
121,3301,0.02135231316725683,8181,1.2695035460992883,Real Estate,2016-01-13
122,1565,0.8065843621399167,8363,-0.3512283894449504,Academic & Educational Services,2016-01-15
123,3963,-0.34272300469483497,8215,1.7380952380952381,Financials,2016-01-28
124,2768,0.9555102040816355,8181,-0.34909090909091034,Real Estate,2016-08-03
125,6833,-0.1071428571428581,8108,-0.9190140845070421,Consumer Non-Cyclicals,2016-10-03
126,2138,0.4543103448275876,8108,-0.8986666666666666,Consumer Non-Cyclicals,2016-11-03
127,1557,-0.07142857142857195,8188,,Industrials,2016-03-18
128,2016,0.0909090909090895,8215,2.1654676258992835,Financials,2016-03-30
129,2239,-0.1572327044025159,8301,0.16438356164383494,Technology,2016-03-30
