,IPO,IPO return,MatchFirm,MatchFirm return,Industry,IPO Date
0,1353,0.0,8172,0.24637681159420177,Consumer Cyclicals,2014-09-01
1,1439,0.13580246913579974,8227,1.14634146341464,Basic Materials,2014-01-13
2,1247,-0.7829181494661924,8273,,Consumer Cyclicals,2014-01-15
3,3332,-0.003759398496241073,8273,,Consumer Cyclicals,2014-01-15
4,2080,-0.4683098591549286,736,-0.7676267308282029,Real Estate,2014-01-23
5,2226,-0.3821039903264807,3997,0.00624999999999809,Consumer Non-Cyclicals,2014-01-28
6,2638,0.10486891385768193,1250,5.156249999999986,Utilities,2014-01-29
7,1622,1.1532567049808362,736,-0.7623320671986137,Real Estate,2014-01-30
8,1636,1.8061224489795888,8227,0.8348623853211006,Basic Materials,2014-02-21
9,1340,-0.568148510014657,3997,-0.363636363636366,Consumer Non-Cyclicals,2014-02-28
10,3636,-0.35547703180212065,8010,1.0,Consumer Cyclicals,2014-06-03
11,2255,-0.1435643564356417,8273,,Consumer Cyclicals,2014-03-13
12,2608,-0.0989304812834233,736,-0.7826140689109697,Real Estate,2014-03-13
13,6138,-0.2577319587628849,356,-0.19310344827586434,Financials,2014-03-31
14,1400,-0.3765390339602226,8273,,Consumer Cyclicals,2014-04-25
15,1771,-0.36855670103092797,8273,,Consumer Cyclicals,2014-05-15
16,1397,-0.3145161290322568,8188,,Industrials,2014-05-22
17,2111,1.2500000000000027,8273,,Consumer Cyclicals,2014-05-23
18,6198,0.03773584905660443,8188,,Industrials,2014-06-06
19,2014,-0.5652173913043494,8188,,Industrials,2014-06-17
20,3903,-0.4171779141104285,356,-0.40689655172413974,Financials,2014-06-19
21,1330,-0.11936339522546202,8111,0.08029197080291928,Energy,2014-06-19
22,1375,0.5787037037037033,356,-0.40689655172413974,Financials,2014-06-25
23,6128,0.008474576271185974,736,-0.9346124412375643,Real Estate,2014-06-25
24,1588,-0.44236111111111076,8249,0.9148936170212763,Technology,2014-06-27
25,2298,0.20281690140844932,8273,,Consumer Cyclicals,2014-06-26
26,1626,0.4843749999999991,8227,0.42499999999999827,Basic Materials,2014-06-27
27,3709,1.9090909090909207,8273,,Consumer Cyclicals,2014-06-27
28,3639,0.25409836065573677,736,-0.9300014830194278,Real Estate,2014-06-27
29,1778,0.03478260869565375,736,-0.9291363883533542,Real Estate,2014-06-30
30,6899,-0.04533333333333156,8249,0.91891891891892,Technology,2014-06-30
31,1450,-0.5327102803738333,8249,0.8999999999999964,Technology,2014-07-07
32,2329,0.10000000000000409,736,-0.9228186572854106,Real Estate,2014-07-07
33,6188,-0.3409090909090913,8273,,Consumer Cyclicals,2014-08-07
34,1599,0.16438356164383738,8188,,Industrials,2014-08-07
35,1321,0.10243902439024533,736,-0.8916514789238715,Real Estate,2014-10-07
36,1418,-0.3545454545454544,8273,,Consumer Cyclicals,2014-10-07
37,1848,0.17468354430379507,356,-0.49130434782608756,Financials,2014-11-07
38,1856,-0.6076233183856516,8273,,Consumer Cyclicals,2014-11-07
39,1367,0.36607142857142705,8273,,Consumer Cyclicals,2014-11-07
40,6123,-0.10169491525423735,8188,,Industrials,2014-11-07
41,1432,-0.31932773109243606,3997,0.49397590361445665,Consumer Non-Cyclicals,2014-07-15
42,2399,-0.4199999999999978,8273,,Consumer Cyclicals,2014-07-16
43,1253,2.5694822888283455,8188,,Industrials,2014-07-21
44,1365,-0.08547008547008494,8273,,Consumer Cyclicals,2014-12-08
45,6166,-0.03987730061349848,736,-0.9182458040064972,Real Estate,2014-08-25
46,2221,1.2500000000000067,8188,,Industrials,2014-09-19
47,1285,-0.12853470437018077,3997,0.29936305732483737,Consumer Non-Cyclicals,2014-09-25
48,1395,-0.5212765957446812,1250,0.8046875000000016,Utilities,2014-09-26
49,1347,-0.1219739292364973,8249,0.7288135593220313,Technology,2014-10-15
50,1462,15.000000000000025,8188,,Industrials,2014-10-16
51,6893,0.5109489051094909,3997,0.5379310344827535,Consumer Non-Cyclicals,2014-10-16
52,3822,-0.08641975308642114,8188,,Industrials,2014-10-16
53,1289,-0.5282186948853617,8188,,Industrials,2014-11-11
54,1443,-0.06106870229007888,8273,,Consumer Cyclicals,2014-11-13
55,1305,-0.3981481481481479,8249,0.703703703703703,Technology,2014-11-18
56,1317,0.5882352941176472,1082,-0.6034297963558417,Academic & Educational Services,2014-11-28
57,1669,-0.2366863905325447,356,-0.3696969696969704,Financials,2014-12-12
58,1958,-0.250847457627118,8273,,Consumer Cyclicals,2014-12-19
59,1381,0.6025641025640986,1250,0.40579710144927383,Utilities,2014-12-29
60,2066,0.015831134564646243,356,-0.3013698630136995,Financials,2014-12-29
61,2277,1.4920634920634903,356,-0.3013698630136995,Financials,2014-12-29
62,2212,0.5285714285714285,8227,6.600000000000014,Basic Materials,2015-09-01
