,IPO,IPO return,MatchFirm,MatchFirm return,Industry,IPO Date
0,1353,0.0,8172,0.188405797101447,Consumer Cyclicals,2014-09-01
1,1439,0.9876543209876507,8227,5.878048780487827,Basic Materials,2014-01-13
2,1247,-0.8879003558718863,8273,,Consumer Cyclicals,2014-01-15
3,3332,-0.3796992481203013,8273,,Consumer Cyclicals,2014-01-15
4,2080,-0.4577464788732384,736,-0.8763946878022315,Real Estate,2014-01-23
5,2226,-0.4159613059250292,3997,0.3312499999999965,Consumer Non-Cyclicals,2014-01-28
6,2638,0.20411985018727163,1250,1.859374999999989,Utilities,2014-01-29
7,1622,1.6053639846743208,736,-0.8613200091773526,Real Estate,2014-01-30
8,1636,2.0714285714285574,8227,7.11926605504588,Basic Materials,2014-02-21
9,1340,-0.750854909623841,3997,-0.28956228956229235,Consumer Non-Cyclicals,2014-02-28
10,3636,-0.31095406360424116,8010,1.0,Consumer Cyclicals,2014-06-03
11,2255,-0.15841584158415623,8273,,Consumer Cyclicals,2014-03-13
12,2608,-0.06417112299465333,736,-0.8645508922833558,Real Estate,2014-03-13
13,6138,-0.14432989690721476,356,-0.3379310344827604,Financials,2014-03-31
14,1400,-0.7026112839940475,8273,,Consumer Cyclicals,2014-04-25
15,1771,-0.5103092783505159,8273,,Consumer Cyclicals,2014-05-15
16,1397,-0.29838709677419095,8188,,Industrials,2014-05-22
17,2111,2.2735849056603885,8273,,Consumer Cyclicals,2014-05-23
18,6198,0.21024258760108094,8188,,Industrials,2014-06-06
19,2014,-0.44481605351170816,8188,,Industrials,2014-06-17
20,3903,-0.5705521472392632,356,-0.42758620689655313,Financials,2014-06-19
21,1330,0.07957559681697801,8111,-0.17518248175182483,Energy,2014-06-19
22,1375,0.7916666666666645,356,-0.4413793103448289,Financials,2014-06-25
23,6128,0.4576271186440688,736,-0.9553952115447688,Real Estate,2014-06-25
24,1588,-0.29861111111110905,8249,1.0744680851063806,Technology,2014-06-27
25,2298,-0.12957746478873255,8273,,Consumer Cyclicals,2014-06-26
26,1626,1.1484375000000018,8227,11.64999999999998,Basic Materials,2014-06-27
27,3709,0.8772727272727379,8273,,Consumer Cyclicals,2014-06-27
28,3639,-0.0983606557377068,736,-0.949577339463147,Real Estate,2014-06-27
29,1778,0.006521739130435078,736,-0.9505660190815167,Real Estate,2014-06-30
30,6899,-0.4266666666666662,8249,1.18918918918919,Technology,2014-06-30
31,1450,-0.6448598130841136,8249,0.7499999999999996,Technology,2014-07-07
32,2329,-0.05999999999999617,736,-0.9727123155740446,Real Estate,2014-07-07
33,6188,-0.4090909090909096,8273,,Consumer Cyclicals,2014-08-07
34,1599,0.40000000000000147,8188,,Industrials,2014-08-07
35,1321,-0.13658536585365744,736,-0.9658902804019596,Real Estate,2014-10-07
36,1418,-0.2727272727272745,8273,,Consumer Cyclicals,2014-10-07
37,1848,0.06329113924050289,356,-0.5826086956521738,Financials,2014-11-07
38,1856,-0.679372197309418,8273,,Consumer Cyclicals,2014-11-07
39,1367,4.357142857142849,8273,,Consumer Cyclicals,2014-11-07
40,6123,0.7330508474576269,8188,,Industrials,2014-11-07
41,1432,-0.36554621848739466,3997,0.05421686746987864,Consumer Non-Cyclicals,2014-07-15
42,2399,0.32500000000000595,8273,,Consumer Cyclicals,2014-07-16
43,1253,4.340599455040877,8188,,Industrials,2014-07-21
44,1365,-0.07407407407407463,8273,,Consumer Cyclicals,2014-12-08
45,6166,-0.07975460122699396,736,-0.9729290741743368,Real Estate,2014-08-25
46,2221,2.620689655172429,8188,,Industrials,2014-09-19
47,1285,-0.5269922879177366,3997,0.33757961783438906,Consumer Non-Cyclicals,2014-09-25
48,1395,-0.6861702127659577,1250,0.5390625000000027,Utilities,2014-09-26
49,1347,0.04283054003724773,8249,0.11864406779660985,Technology,2014-10-15
50,1462,30.399999999999974,8188,,Industrials,2014-10-16
51,6893,0.04379562043795704,3997,0.44827586206895864,Consumer Non-Cyclicals,2014-10-16
52,3822,-0.46666666666666823,8188,,Industrials,2014-10-16
53,1289,-0.7689594356261021,8188,,Industrials,2014-11-11
54,1443,-0.2595419847328265,8273,,Consumer Cyclicals,2014-11-13
55,1305,-0.5709876543209875,8249,0.07407407407407529,Technology,2014-11-18
56,1317,1.993079584775089,1082,-0.7534833869239022,Academic & Educational Services,2014-11-28
57,1669,-0.41420118343195356,356,-0.41818181818181754,Financials,2014-12-12
58,1958,0.030508474576271594,8273,,Consumer Cyclicals,2014-12-19
59,1381,0.9658119658119595,1250,0.9927536231884002,Utilities,2014-12-29
60,2066,-0.18073878627968165,356,-0.3287671232876713,Financials,2014-12-29
61,2277,1.4126984126984108,356,-0.3287671232876713,Financials,2014-12-29
62,2212,0.22857142857142643,8227,7.628571428571439,Basic Materials,2015-09-01
63,6866,-0.4378378378378379,263,-0.7092036553524796,Financials,2015-01-13
64,3708,3.641791044776113,8188,,Industrials,2015-01-14
65,1993,-0.4818652849740923,8010,0.0,Consumer Cyclicals,2015-01-15
66,1362,0.6521739130434723,8249,-0.1746031746031751,Technology,2015-01-15
67,6161,-0.29302325581395194,263,-0.6652181470537103,Financials,2015-01-15
68,6822,0.07769145394007038,8010,0.0,Consumer Cyclicals,2015-01-16
69,1327,-0.9211711711711714,8010,0.0,Consumer Cyclicals,2015-01-30
70,1027,-0.691133720930232,8010,0.0,Consumer Cyclicals,2015-02-13
71,1858,0.8027734976887488,8197,-0.7647058823529413,Healthcare,2015-11-03
72,1430,0.3049999999999913,3966,1.6265060240963907,Utilities,2015-11-03
73,1566,-0.273684210526315,8010,0.0,Consumer Cyclicals,2015-12-03
74,1310,0.21608040201004997,8249,-0.3037974683544312,Technology,2015-12-03
75,1415,-0.4281600921393608,8249,-0.21428571428571475,Technology,2015-03-31
76,1245,-0.2970297029702945,8010,0.0,Consumer Cyclicals,2015-08-04
77,1500,-0.5630252100840347,8188,,Industrials,2015-04-16
78,6826,-0.12414383561644116,8197,0.02941176470588136,Healthcare,2015-04-30
79,1301,-0.5839694656488567,8188,,Industrials,2015-05-27
80,6839,-0.5613793103448277,3966,1.3809523809523898,Utilities,2015-05-27
81,1530,0.40439560439560207,8197,-0.7647058823529413,Healthcare,2015-11-06
82,6183,-0.4494117647058834,8108,-0.9350525310410696,Consumer Non-Cyclicals,2015-06-18
83,2686,-0.43884892086330907,1142,-0.7599999999999992,Energy,2015-06-23
84,1528,-0.14911068900017388,8010,0.0,Consumer Cyclicals,2015-06-26
85,6133,-0.8576127819548873,8249,-0.6698113207547164,Technology,2015-06-26
86,3396,-0.4400465657741566,8301,3.23809523809524,Technology,2015-06-29
87,1509,-0.7121879588839946,8197,0.18518518518518334,Healthcare,2015-07-07
88,1461,-0.5479999999999982,263,-0.792778057372924,Financials,2015-07-07
89,6836,-0.03906249999999667,8108,-0.8936507936507935,Consumer Non-Cyclicals,2015-07-07
90,2666,-0.034108527131784694,263,-0.8484248068159298,Financials,2015-08-07
91,1498,-0.40326909002195943,8197,-0.3783783783783793,Healthcare,2015-08-07
92,3737,-0.46025104602510447,8108,-0.9183417085427137,Consumer Non-Cyclicals,2015-07-13
93,6896,-0.6981519507186853,8197,-0.2285714285714291,Healthcare,2015-07-15
94,1527,-0.41944074567243717,8188,,Industrials,2015-12-10
95,1476,-0.6043165467625888,263,-0.883733992361267,Financials,2015-10-15
96,1533,0.15963302752293473,8108,-0.9425556858147713,Consumer Non-Cyclicals,2015-10-15
97,1532,-0.4999999999999991,8010,0.0,Consumer Cyclicals,2015-10-16
98,1508,-0.4518518518518533,263,-0.8723325521154549,Financials,2015-10-26
99,2799,-0.5709677419354845,263,-0.8754403623553094,Financials,2015-10-30
100,1556,-0.5901639344262325,8188,,Industrials,2015-11-11
101,1452,-0.6413793103448288,8227,6.424657534246567,Basic Materials,2015-12-11
102,3799,0.1719999999999977,8108,-0.9337423312883437,Consumer Non-Cyclicals,2015-11-20
103,1538,-0.6524064171123002,616,-0.7999726925177504,Real Estate,2015-11-25
104,6865,0.051546391752575804,1142,-0.6393442622950813,Energy,2015-11-26
105,2289,-0.09750000000000236,8108,-0.935483870967742,Consumer Non-Cyclicals,2015-12-14
106,3600,-0.6608910891089118,8197,-0.9384615384615383,Healthcare,2015-12-15
107,1786,-0.6355932203389831,8188,,Industrials,2015-12-16
108,1662,0.4594594594594592,8188,,Industrials,2015-12-18
109,1543,0.12318840579710177,263,-0.8925806451612903,Financials,2015-12-23
110,6196,-0.1444596443228433,263,-0.8925806451612903,Financials,2015-12-23
111,1558,0.8535075653370037,8197,-0.9337016574585635,Healthcare,2015-12-29
112,1568,1.9999999999999902,8010,0.0,Consumer Cyclicals,2015-12-29
113,1548,6.743140243902435,8197,-0.9351351351351351,Healthcare,2015-12-30
114,1799,-0.10227272727272552,8227,4.280000000000021,Basic Materials,2015-12-30
115,3678,-0.45177664974619314,263,-0.9085483870967742,Financials,2015-12-30
116,3326,0.03683492496589724,442,0.06060606060606211,Consumer Cyclicals,2016-04-01
117,3773,-0.023255813953491855,8301,-0.4693877551020401,Technology,2016-07-01
118,1459,-0.34545454545454624,8188,,Industrials,2016-12-01
119,3301,0.6548042704626258,8181,1.6595744680851081,Real Estate,2016-01-13
120,1565,0.5308641975308661,8363,-0.41765241128298525,Academic & Educational Services,2016-01-15
121,3963,-0.7652582159624414,8215,-0.3571428571428582,Financials,2016-01-28
122,2768,0.3877551020408181,8181,0.5090909090909097,Real Estate,2016-08-03
123,6833,-0.5,8108,-0.9619718309859154,Consumer Non-Cyclicals,2016-10-03
124,2138,1.4999999999999964,8108,-0.9537777777777776,Consumer Non-Cyclicals,2016-11-03
125,1557,0.18571428571428483,8188,,Industrials,2016-03-18
126,2016,0.08838383838383401,8215,-0.22302158273381356,Financials,2016-03-30
127,2239,0.44339622641509413,8301,-0.45205479452054875,Technology,2016-03-30
128,1578,-0.35723951285521294,8215,-0.22302158273381356,Financials,2016-03-30
129,1496,-0.42222222222222283,8188,,Industrials,2016-08-04
130,1469,-0.13333333333332942,8215,-0.4976744186046519,Financials,2016-08-04
131,2738,-0.1666666666666604,8139,1.087619047619043,Basic Materials,2016-04-15
132,3626,-0.5747126436781613,8139,1.3314065510597315,Basic Materials,2016-05-18
133,1585,0.8181818181818254,442,-0.35849056603773455,Consumer Cyclicals,2016-05-19
134,1606,-0.2680412371134012,8215,-0.7882352941176473,Financials,2016-11-07
135,1586,-0.22292993630573132,8173,-0.7972972972973003,Energy,2016-12-07
136,2869,2.289377289377292,8181,0.26315789473684115,Real Estate,2016-11-07
137,1523,1.3061224489795875,8301,-0.5727272727272736,Technology,2016-07-13
138,1560,-0.22987164527421078,8181,0.38983050847457923,Real Estate,2016-07-13
139,1573,1.652173913043478,8173,20.100607697501673,Energy,2016-07-13
140,1579,12.846153846153806,8108,-0.9009345794392524,Consumer Non-Cyclicals,2016-07-13
141,1612,-0.297872340425533,8019,-0.9096774193548387,Healthcare,2016-07-13
142,1589,-0.10465116279069608,8188,,Industrials,2016-07-15
143,2278,-0.12916666666666787,8181,0.46428571428571597,Real Estate,2016-07-15
144,6816,-0.1858407079646014,8188,,Industrials,2016-07-20
145,2031,-0.06521739130434712,442,-0.7582938388625595,Consumer Cyclicals,2016-12-09
146,3893,-0.785714285714286,442,-0.7582938388625595,Consumer Cyclicals,2016-12-09
147,2633,-0.23809523809523914,8019,-0.8784313725490196,Healthcare,2016-09-21
148,1658,-0.012578616352201588,8215,-0.6957746478873237,Financials,2016-09-28
149,1591,-0.7430555555555549,8188,,Industrials,2016-09-28
150,1577,-0.2857142857142857,8215,-0.7041095890410964,Financials,2016-09-30
151,1547,-0.1379310344827558,8188,,Industrials,2016-10-14
152,2113,-0.5687500000000008,8188,,Industrials,2016-10-17
153,1609,5.2499999999999964,8188,,Industrials,2016-10-17
154,3320,-0.16648168701442856,8019,-0.8538812785388128,Healthcare,2016-10-28
155,3306,0.7059679767103375,442,-0.5525606469002688,Consumer Cyclicals,2016-10-31
156,6163,0.007299270072991915,8188,,Industrials,2016-11-11
157,1633,,8188,,Industrials,2016-11-11
