,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
0,1353.HK,9/1/2014,,,610794000,Consumer Cyclicals
1,1439.HK,13/1/2014,39100,1,1377497662,Basic Materials
2,1247.HK,15/1/2014,25032,1,984000000,Consumer Cyclicals
3,3332.HK,15/1/2014,,1,946298370,Consumer Cyclicals
4,2080.HK,23/1/2014,,100,374984000,Real Estate
5,2226.HK,28/1/2014,350170,91,578750000,Consumer Non-Cyclicals
6,2638.HK,29/1/2014,26978650,40,8836200000,Utilities
7,1622.HK,30/1/2014,14569879,62,3551609322,Real Estate
8,1636.HK,21/2/2014,134080,65,2631603838,Basic Materials
9,1340.HK,28/2/2014,47424,1,880838000,Consumer Non-Cyclicals
10,3636.HK,6/3/2014,121133,31,246316000,Consumer Cyclicals
11,2255.HK,13/3/2014,1576965,83,4000000000,Consumer Cyclicals
12,2608.HK,13/3/2014,11580,45,2552303477,Real Estate
13,0798.HK,28/3/2014,1366160,53,7574352000,Real Estate
14,6138.HK,31/3/2014,292370,,10995599553,Financials
15,2100.HK,10/4/2014,3032940,78,2737434000,Technology
16,1400.HK,25/4/2014,15540,1,302521083,Consumer Cyclicals
17,1771.HK,15/5/2014,38860,95,600000000,Consumer Cyclicals
18,1397.HK,22/5/2014,6000,59,415000000,Industrials
19,6199.HK,30/12/2019,34450,,14588046744,Financials
20,2111.HK,23/5/2014,85140,95,1039808000,Consumer Cyclicals
21,2303.HK,28/5/2014,526460,88,925000000,Basic Materials
22,6198.HK,6/6/2014,1501090,85,1099025000,Industrials
23,2014.HK,17/6/2014,195302,88,2132331950,Industrials
24,3903.HK,19/6/2014,90740,,4600000000,Financials
25,1330.HK,19/6/2014,10865757,44,404359792,Energy
26,1619.HK,,,,24802284000,Basic Materials
27,1375.HK,25/6/2014,2994710,,1195365000,Financials
28,6128.HK,25/6/2014,18138920,15,482290000,Real Estate
29,2229.HK,,,,1191360000,Basic Materials
30,1588.HK,27/6/2014,1132940,37,217181666,Technology
31,2298.HK,26/6/2014,6925300,41,2249457213,Consumer Cyclicals
32,0911.HK,27/6/2014,2340,76,1692760000,Consumer Non-Cyclicals
33,1626.HK,27/6/2014,4600,37,300000000,Basic Materials
34,3709.HK,27/6/2014,54677094,82,685050195,Consumer Cyclicals
35,3639.HK,27/6/2014,,40,2583970000,Real Estate
36,1778.HK,30/6/2014,9318080,93,1454867299,Real Estate
37,6899.HK,30/6/2014,454480,1,1077799887,Technology
38,6139.HK,2/7/2014,274850,34,2000000000,Consumer Cyclicals
39,1446.HK,4/7/2014,70640,100,655944000,Consumer Non-Cyclicals
40,6136.HK,4/7/2014,638670,68,2139735000,Utilities
41,1450.HK,7/7/2014,4650,1,1041243169,Technology
42,2329.HK,7/7/2014,4003720,26,4444417986,Real Estate
43,6188.HK,8/7/2014,5610,91,732460400,Consumer Cyclicals
