,Stock,Industry,IPO,MktCap,return_1year,IPO Year
0,1353,Consumer Cyclicals,2014-09-01,160.79,0.0,2014
1,1439,Basic Materials,2014-01-13,0.81,0.0,2014
2,1247,Consumer Cyclicals,2014-01-15,2.81,0.04040404040404044,2014
3,3332,Consumer Cyclicals,2014-01-15,2.66,0.02105263157894727,2014
4,2080,Real Estate,2014-01-23,2.84,-0.0107526881720429,2014
5,2226,Consumer Non-Cyclicals,2014-01-28,8.27,-0.01818181818181819,2014
6,2638,Utilities,2014-01-29,5.34,-0.02678571428571411,2014
7,1622,Real Estate,2014-01-30,1.305,0.0,2014
8,1636,Basic Materials,2014-02-21,0.98,0.04050632911392409,2014
9,1340,Consumer Non-Cyclicals,2014-02-28,2.0469999999999997,-0.002638522427440577,2014
10,3636,Consumer Cyclicals,2014-06-03,28.3,0.0289473684210526,2014
11,2255,Consumer Cyclicals,2014-03-13,2.02,0.0,2014
12,2608,Real Estate,2014-03-13,3.74,0.103448275862069,2014
13,6138,Financials,2014-03-31,2.91,-0.001754385964912243,2014
14,1400,Consumer Cyclicals,2014-04-25,7.391,-0.003745318352060012,2014
15,1771,Consumer Cyclicals,2014-05-15,3.88,0.0,2014
16,1397,Industrials,2014-05-22,1.24,-0.00373134328358201,2014
17,6199,Financials,2019-12-30,2.3,-0.005736137667303892,2019
18,6199,Financials,2019-12-30,2.3,-0.005736137667303892,2019
19,2111,Consumer Cyclicals,2014-05-23,2.12,-0.03612167300380235,2014
20,6198,Industrials,2014-06-06,3.71,-0.04925053533190574,2014
21,2014,Industrials,2014-06-17,2.99,-0.01666666666666668,2014
22,3903,Financials,2014-06-19,1.63,-0.0040983606557378,2014
23,1330,Energy,2014-06-19,3.77,-0.01351351351351353,2014
24,1375,Financials,2014-06-25,2.16,0.04687500000000011,2014
25,6128,Real Estate,2014-06-25,1.18,0.003278688524590094,2014
26,1588,Technology,2014-06-27,14.4,0.02608695652173896,2014
27,2298,Consumer Cyclicals,2014-06-26,3.55,-0.004464285714285619,2014
28,1626,Basic Materials,2014-06-27,1.28,-0.0107526881720429,2014
29,3709,Consumer Cyclicals,2014-06-27,4.4,0.1489361702127659,2014
30,3639,Real Estate,2014-06-27,2.44,0.09402546523016643,2014
31,1778,Real Estate,2014-06-30,4.6,-0.007751937984496131,2014
32,6899,Technology,2014-06-30,3.75,-0.003891050583657505,2014
33,1450,Technology,2014-07-07,1.07,0.02290076335877865,2014
34,2329,Real Estate,2014-07-07,2.5,-0.01562500000000001,2014
35,6188,Consumer Cyclicals,2014-08-07,3.96,0.0,2014
36,1599,Industrials,2014-08-07,3.65,0.1280487804878049,2014
37,1321,Real Estate,2014-10-07,2.05,-0.005305039787798413,2014
38,1418,Consumer Cyclicals,2014-10-07,1.1,0.05882352941176476,2014
39,1848,Financials,2014-11-07,7.9,0.03030303030303033,2014
40,1856,Consumer Cyclicals,2014-11-07,4.46,0.006172839506172707,2014
41,1367,Consumer Cyclicals,2014-11-07,1.12,-0.04545454545454549,2014
42,6123,Industrials,2014-11-07,2.36,0.009259259259259267,2014
43,1432,Consumer Non-Cyclicals,2014-07-15,2.38,-0.006696428571428627,2014
44,2399,Consumer Cyclicals,2014-07-16,1.0,0.00448430493273553,2014
45,1253,Industrials,2014-07-21,0.36700000000000005,0.03023255813953486,2014
46,1365,Consumer Cyclicals,2014-12-08,3.51,0.0,2014
47,6166,Real Estate,2014-08-25,3.26,0.03603603603603586,2014
48,2221,Industrials,2014-09-19,1.16,0.01801801801801783,2014
49,1285,Consumer Non-Cyclicals,2014-09-25,3.89,,2014
50,1395,Utilities,2014-09-26,0.94,-0.002478314745972686,2014
51,1347,Technology,2014-10-15,10.74,0.0,2014
52,1462,Industrials,2014-10-16,0.1,0.01785714285714295,2014
53,6893,Consumer Non-Cyclicals,2014-10-16,1.37,0.006048387096774244,2014
54,3822,Industrials,2014-10-16,0.405,0.003759398496240521,2014
55,1289,Industrials,2014-11-11,11.34,0.0,2014
56,1443,Consumer Cyclicals,2014-11-13,1.31,-0.1163101604278075,2014
57,1305,Technology,2014-11-18,3.24,0.0,2014
58,1317,Academic & Educational Services,2014-11-28,1.445,0.0,2014
59,1669,Financials,2014-12-12,1.69,-0.02290076335877865,2014
60,1958,Consumer Cyclicals,2014-12-19,8.85,-0.005524861878453044,2014
61,3699,Real Estate,2018-01-16,1.41,0.0,2018
62,3699,Real Estate,2018-01-16,1.41,0.0,2018
63,1381,Utilities,2014-12-29,2.34,-0.01907356948228878,2014
64,2066,Financials,2014-12-29,7.58,0.0,2014
65,2277,Financials,2014-12-29,0.63,0.0,2014
66,2212,Basic Materials,2015-09-01,0.14,-0.02195608782435118,2015
67,6866,Financials,2015-01-13,1.85,0.01014198782961475,2015
68,3708,Industrials,2015-01-14,0.134,-0.008097165991902662,2015
69,1993,Consumer Cyclicals,2015-01-15,5.79,-0.01653944020356233,2015
70,1362,Technology,2015-01-15,0.92,0.02337662337662334,2015
71,6161,Financials,2015-01-15,2.15,0.06518723994452147,2015
72,6822,Consumer Cyclicals,2015-01-16,0.9009999999999999,-0.00647249190938512,2015
73,1327,Consumer Cyclicals,2015-01-30,6.216,-0.0188679245283019,2015
74,1027,Consumer Cyclicals,2015-02-13,5.504,0.02912621359223311,2015
75,1858,Healthcare,2015-11-03,2.596,0.01402805611222433,2015
76,1430,Utilities,2015-11-03,2.0,0.0,2015
77,1566,Consumer Cyclicals,2015-12-03,3.8,0.0,2015
78,1310,Technology,2015-12-03,9.95,0.008750000000000036,2015
79,1415,Technology,2015-03-31,2.839,0.0,2015
80,1245,Consumer Cyclicals,2015-08-04,1.01,0.0,2015
81,1500,Industrials,2015-04-16,1.19,0.005988023952095947,2015
82,6826,Healthcare,2015-04-30,58.4,-0.005952380952381089,2015
83,1301,Industrials,2015-05-27,2.62,-0.003645200486026735,2015
84,6839,Utilities,2015-05-27,7.25,-0.006060606060606067,2015
85,1530,Healthcare,2015-11-06,9.1,-0.01910828025477695,2015
86,6183,Consumer Non-Cyclicals,2015-06-18,2.125,-0.01273885350318458,2015
87,2686,Energy,2015-06-23,2.78,-0.02477477477477484,2015
88,1528,Consumer Cyclicals,2015-06-26,11.582,-0.002272727272727426,2015
89,6133,Technology,2015-06-26,2.128,0.01624129930394438,2015
90,3396,Technology,2015-06-29,42.95,-0.01294498381877024,2015
91,1509,Healthcare,2015-07-07,6.81,-0.01481481481481483,2015
92,1461,Financials,2015-07-07,2.5,0.0,2015
93,6836,Consumer Non-Cyclicals,2015-07-07,1.28,-0.006060606060605931,2015
94,2666,Financials,2015-08-07,6.45,-0.04347826086956525,2015
