,Type,RIC
0,K:TCNT,0700
1,K:MEDI,3690
2,K:CCBN,0939
3,K:CHT,0941
4,K:AGP,1299
5,K:HSBC,0005
6,K:HKEX,0388
7,K:XIAI,1810
8,K:CNOO,0883
9,K:BBCA,1876
10,K:HAIN,6862
11,K:SHKP,0016
12,K:SHNG,0241
13,K:CHBE,1109
14,K:PIPE,0027
15,K:LNGF,0960
16,K:SNDC,1928
17,K:WXBO,2269
18,K:BOC,2388
19,K:NMGH,0708
20,K:COLI,0688
21,K:HSBA,0011
22,K:MTRC,0066
23,K:ANIT,2020
24,K:EVRG,3333
25,K:CITP,0267
26,K:COGA,2007
27,K:HANP,3692
28,K:HKCG,0003
29,K:UNIC,0762
30,K:CHGK,0001
31,K:CLIG,0002
32,K:SZIN,2313
33,K:SBIO,1177
34,K:SMIH,6969
35,K:TRON,0669
36,K:CHIF,6186
37,K:MNDA,2319
38,K:CHRE,0291
39,K:CKPH,1113
40,K:CGSS,6098
41,K:MANR,0175
42,K:LREI,0823
43,K:SCHL,1918
44,K:CPHA,1093
45,K:HELD,0012
46,K:PINH,1833
47,K:SMIC,0981
48,K:SHIM,0813
49,K:SOPT,2382
50,K:SWIE,1972
51,K:YIHA,1579
52,K:BYDE,0285
53,K:IWAI,0384
54,K:CTFJ,1929
55,K:CKIH,1038
56,K:XINA,2688
57,K:AMOY,0101
58,K:NWDV,0017
59,K:HKEL,0006
60,K:SARG,6808
61,K:HHPL,0288
62,K:WREI,1997
63,K:ZSG,0881
64,K:BYD,1211
65,K:CCVH,0586
66,K:CRCH,1313
67,K:LOGI,1193
68,K:CHTW,0788
69,K:DALF,3799
70,K:ESRC,1821
71,K:FOSN,0656
72,K:GUAN,0270
73,K:WIL,1169
74,K:HENG,1044
75,K:HKEK,2638
76,K:HKTL,6823
77,K:INNB,1801
78,K:KDEE,0268
79,K:LNIN,2331
80,K:LPTY,3380
81,K:MPS,0853
82,K:PSBC,1658
83,K:PRAD,1913
84,K:SDW,1066
85,K:SILC,0083
86,K:CAYM,0322
87,K:WANT,0151
88,K:WYNN,1128
89,K:XSHL,0968
90,K:SBIL,1530
91,K:ALIV,3319
92,K:AACA,2018
93,K:AGIL,3383
94,K:AKME,1789
95,K:AKES,9926
96,K:INTC,1060
97,K:ALIG,0373
98,K:ALPO,9966
99,K:ARCG,9990
100,K:ASIC,0743
101,K:ASIT,1675
102,K:ASMP,0522
103,K:AUST,1717
104,K:AVIC,2357
105,K:BEAA,0023
106,K:BJCL,0416
107,K:BEEN,0392
108,K:WANO,0371
109,K:BEAI,0694
110,K:BINL,2299
111,K:BOCA,2588
112,K:BOSI,3998
113,K:CBA,1114
114,K:SWED,1908
115,K:POKP,0043
116,K:CAFE,0341
117,K:CANB,6185
118,K:CATH,0293
119,K:CCNL,9983
120,K:CETR,0832
121,K:CPWR,1816
122,K:CREI,2778
123,K:CCON,1800
124,K:CHCM,0552
125,K:CAPP,0512
126,K:CLYU,0916
127,K:CPOW,2380
128,K:CAOY,3883
129,K:CHBO,9668
130,K:CCAM,1359
131,K:RENH,1387
132,K:CEEH,0667
133,K:CHEG,0839
134,K:IHDH,0165
135,K:CHEI,0257
136,K:CGXY,6881
137,K:CHGT,1378
138,K:CHMT,2799
139,K:CICC,3908
140,K:FRAP,0817
141,K:CHK1,1890
142,K:CLG,2128
143,K:CHLT,0772
144,K:CLPH,1589
145,K:CHM,0867
146,K:CHML,1268
147,K:HAIH,0144
148,K:CMOL,3993
149,K:CNBM,3323
150,K:SHEL,0081
151,K:COPH,2669
152,K:CHRN,1911
153,K:CRPH,3320
154,K:CREP,0836
155,K:CHRG,1907
156,K:CHI,1966
157,K:HOPY,0412
158,K:CSCG,0691
159,K:CINS,0966
160,K:CTC,0728
161,K:CTGC,1252
162,K:CTIH,6055
163,K:WISH,0570
164,K:CEDA,0855
165,K:CYAS,3669
166,K:SYCA,8083
167,K:CHYU,6169
168,K:CZBC,2016
169,K:CSFT,0354
170,K:CHNE,0127
171,K:CIHG,0884
172,K:CTIC,1883
173,K:CKLS,0775
174,K:CFML,1610
175,K:FLGR,1199
176,K:CSCF,6066
177,K:CSCI,3311
178,K:CSTP,2616
179,K:DSBG,2356
180,K:DICH,0861
181,K:DFMG,0489
182,K:EHOU,2048
183,K:ESLS,1995
184,K:FEHL,3360
185,K:FPCC,0142
186,K:FHTL,6088
187,K:FRE,0778
188,K:FOST,1992
189,K:ASYI,1448
190,K:SUNG,0535
191,K:GENS,1548
192,K:WWT,1282
193,K:GERG,3308
194,K:FIRE,0530
195,K:CAPT,0493
196,K:GEAL,0041
197,K:GWA,2333
198,K:GTCH,3900
199,K:GSGC,2869
200,K:GAG,2238
201,K:GURF,2777
202,K:GUOC,0053
203,K:GJIH,1788
204,K:BIHT,1112
205,K:HMAP,0357
206,K:HAIT,1882
207,K:TAIF,0665
208,K:HLDV,0010
209,K:MAS,0136
210,K:HKBN,1310
211,K:CTEL,1137
212,K:HKHT,0045
213,K:HOEE,1765
214,K:HOPS,0754
215,K:HUAH,1347
216,K:SILV,0336
217,K:HUIX,8700
218,K:HUI1,9968
219,K:HYHH,6078
220,K:HYSD,0014
221,K:ICGI,0799
222,K:INNP,9969
223,K:JIGL,2768
224,K:GDIG,2362
225,K:JNMA,6139
226,K:JIFG,1951
227,K:JIIH,9922
228,K:JNEL,0179
229,K:JSGG,1691
230,K:KWAI,0173
231,K:KHDL,1638
232,K:KAM1,9997
233,K:KLNT,0636
234,K:KERP,0683
235,K:KINC,0148
236,K:KILA,1888
237,K:KINS,3888
238,K:STIM,1031
239,K:KOTH,1797
240,K:KOWL,0034
241,K:PARG,0135
242,K:KWGP,1813
243,K:LOIS,0973
244,K:LMPM,2314
245,K:LEGH,3396
246,K:LEGE,0992
247,K:SFHD,1089
248,K:LIFS,1212
249,K:LTSC,1302
250,K:CINF,3339
251,K:LUK,0590
252,K:LUYE,2186
253,K:NHER,0095
254,K:MEH,1999
255,K:MAOE,1896
256,K:MELO,0200
257,K:MCHL,2282
258,K:MIRE,3990
259,K:MINT,0425
260,K:ORMT,1208
261,K:NAGA,3918
262,K:NETD,0777
263,K:NAGL,1316
264,K:NDRA,2689
265,K:NISS,1475
266,K:PAPO,0659
267,K:OCUT,1477
268,K:OROC,0316
269,K:TRIC,0008
270,K:PEIM,9996
271,K:PICC,2328
272,K:POPD,6049
273,K:POUS,3813
274,K:PCMH,9909
275,K:PRE,1238
276,K:QTCH,1478
277,K:RAZE,1337
278,K:REDC,1622
279,K:RONS,3301
280,K:XIN1,1755
281,K:SAM,1910
282,K:SANY,0631
283,K:SCEG,1769
284,K:FLDH,1030
285,K:SIND,0363
286,K:SLAS,0069
287,K:XJIN,2066
288,K:SHEN,0152
289,K:SHUM,0604
290,K:SHOU,0697
291,K:FHUI,0639
292,K:SIN1,2103
293,K:SINO,3377
294,K:SPHL,1099
295,K:SITH,3808
296,K:SIH,1308
297,K:SJMH,0880
298,K:SOHO,0410
299,K:LIJU,2005
300,K:SUNE,1686
301,K:SWPA,0019
302,K:TCLI,1070
303,K:TIAL,1773
304,K:TPIL,0819
305,K:TPHS,1233
306,K:TINH,9928
307,K:TOEH,0780
308,K:WSTI,6100
309,K:TOIH,6110
310,K:PANV,1083
311,K:TRAV,0696
312,K:TSTP,0247
313,K:UNIP,0220
314,K:RUSA,0486
315,K:TOPS,0467
316,K:ULAB,3933
317,K:VEMH,2500
318,K:VIND,3331
319,K:VITA,0345
320,K:VIVB,1873
321,K:VTEC,0303
322,K:WEIM,2013
323,K:HKWH,0004
324,K:XD,2400
325,K:XIAB,0520
326,K:XIE1,3868
327,K:XINY,0868
328,K:YADE,1585
329,K:YEAH,9923
330,K:YIXN,2858
331,K:YUEN,0551
332,K:GZIN,0123
333,K:GZIR,0405
334,K:MANH,0376
335,K:YPRP,1628
336,K:ZHAO,1818
337,K:ZHNT,6158
338,K:ZOAC,6060
339,K:ZHOH,2772
340,K:MRCH,3633
341,K:ZHYI,1458
342,K:ZCSR,3898
343,K:HOSP,8495
344,K:360L,3601
345,K:DGRS,1361
346,K:CRED,2051
347,K:OLIX,0797
348,K:HSGE,1737
349,K:APGH,1841
350,K:ADMH,0800
351,K:AAGE,2686
352,K:ABBG,1615
353,K:ABC,8131
354,K:ABLE,1627
355,K:ACGH,1283
356,K:ACIH,1870
357,K:ACG1,9919
358,K:CZRH,2623
359,K:ADTC,1163
360,K:AEON,0900
361,K:JUSC,0984
362,K:AESO,8341
363,K:AFF,1757
364,K:OMJL,1466
365,K:KHIN,1131
366,K:MGIN,8279
367,K:AHSB,8290
368,K:TECP,8088
369,K:ITCH,0286
370,K:AJIS,0538
371,K:AKM,1639
372,K:ALGL,8360
373,K:ALCO,0328
374,K:AILL,0684
375,K:APRP,0056
376,K:ALLD,8320
377,K:ALLT,0833
378,K:AEIH,8406
379,K:ZOBE,0948
380,K:ALTS,8149
381,K:AMGH,1849
382,K:AMAS,8168
383,K:RAIN,0033
384,K:JACK,0630
385,K:AMS,0077
386,K:AMUS,8545
387,K:VGRD,2300
388,K:ANCL,8353
389,K:ANAH,1977
390,K:ANCH,1592
391,K:ANTO,3337
392,K:VITE,0922
393,K:HMIL,1370
394,K:AHLG,3662
395,K:APRH,1496
396,K:YING,1104
397,K:APEX,6036
398,K:MINF,0860
399,K:AELE,0519
400,K:APTS,1045
401,K:KTPH,0645
402,K:ARTX,0565
403,K:ARTG,3313
404,K:ARTI,0789
405,K:ARTS,1120
406,K:APGI,6855
407,K:DAXP,1672
408,K:CHUW,0711
409,K:ASCR,0841
410,K:ACOM,0104
411,K:IICI,0351
412,K:ASIF,0662
413,K:ASGR,8413
414,K:ORIE,0214
415,K:PAPL,0767
416,K:IONA,8400
417,K:WLWT,0899
418,K:YAOH,0292
419,K:ASTD,0129
420,K:PROC,0679
421,K:COPR,0707
422,K:AELH,8620
423,K:GPSL,8193
424,K:AIR,8025
425,K:ACHL,0073
426,K:ARAY,1993
427,K:ASIA,0271
428,K:AIH,0105
429,K:ASFN,8333
430,K:ATLN,8043
431,K:SJTU,8148
432,K:ASTR,6118
433,K:ASPI,2031
434,K:WKEE,0720
435,K:AUTO,0771
436,K:MEGH,2080
437,K:AVCO,0595
438,K:AVPR,8419
439,K:FEAL,0232
440,K:ALII,0260
441,K:BDSH,1780
442,K:BSIL,1705
443,K:BABG,1761
444,K:BAGR,1397
445,K:BAIC,1958
446,K:BFIL,2100
447,K:BYKE,8525
448,K:BBHC,2293
449,K:ABCC,0030
450,K:BCCL,1963
451,K:BNKG,2139
452,K:BAOG,6199
453,K:BOJH,6190
454,K:BQCL,3866
455,K:BOTI,1578
456,K:BOZZ,6196
457,K:BASH,8151
458,K:BMIH,1121
459,K:BAOY,2355
460,K:BARP,8432
461,K:BTRP,8460
462,K:BAUH,0483
463,K:BAWA,1338
464,K:CFOG,1194
465,K:BBMG,2009
466,K:BCGL,0863
467,K:BCIG,8412
468,K:FUTA,0706
469,K:BGHC,8275
470,K:BBJB,8095
471,K:JIHL,1329
472,K:BCL,2868
473,K:BCMI,1858
474,K:BGDG,6188
