Stock,Industry,IPO,MktCap,IPO Year,previous_year
1353,Consumer Cyclicals,2014-09-01,160.79,2014,2013
1439,Basic Materials,2014-01-13,0.81,2014,2013
1247,Consumer Cyclicals,2014-01-15,2.81,2014,2013
3332,Consumer Cyclicals,2014-01-15,2.66,2014,2013
2080,Real Estate,2014-01-23,2.84,2014,2013
2226,Consumer Non-Cyclicals,2014-01-28,8.27,2014,2013
2638,Utilities,2014-01-29,5.34,2014,2013
1622,Real Estate,2014-01-30,1.305,2014,2013
1636,Basic Materials,2014-02-21,0.98,2014,2013
1340,Consumer Non-Cyclicals,2014-02-28,2.0469999999999997,2014,2013
3636,Consumer Cyclicals,2014-06-03,28.3,2014,2013
2255,Consumer Cyclicals,2014-03-13,2.02,2014,2013
2608,Real Estate,2014-03-13,3.74,2014,2013
6138,Financials,2014-03-31,2.91,2014,2013
1400,Consumer Cyclicals,2014-04-25,7.391,2014,2013
1771,Consumer Cyclicals,2014-05-15,3.88,2014,2013
1397,Industrials,2014-05-22,1.24,2014,2013
6199,Financials,2019-12-30,2.3,2019,2018
6199,Financials,2019-12-30,2.3,2019,2018
2111,Consumer Cyclicals,2014-05-23,2.12,2014,2013
6198,Industrials,2014-06-06,3.71,2014,2013
2014,Industrials,2014-06-17,2.99,2014,2013
3903,Financials,2014-06-19,1.63,2014,2013
1330,Energy,2014-06-19,3.77,2014,2013
1375,Financials,2014-06-25,2.16,2014,2013
6128,Real Estate,2014-06-25,1.18,2014,2013
1588,Technology,2014-06-27,14.4,2014,2013
2298,Consumer Cyclicals,2014-06-26,3.55,2014,2013
1626,Basic Materials,2014-06-27,1.28,2014,2013
3709,Consumer Cyclicals,2014-06-27,4.4,2014,2013
3639,Real Estate,2014-06-27,2.44,2014,2013
1778,Real Estate,2014-06-30,4.6,2014,2013
6899,Technology,2014-06-30,3.75,2014,2013
1450,Technology,2014-07-07,1.07,2014,2013
2329,Real Estate,2014-07-07,2.5,2014,2013
6188,Consumer Cyclicals,2014-08-07,3.96,2014,2013
1599,Industrials,2014-08-07,3.65,2014,2013
1321,Real Estate,2014-10-07,2.05,2014,2013
1418,Consumer Cyclicals,2014-10-07,1.1,2014,2013
1848,Financials,2014-11-07,7.9,2014,2013
1856,Consumer Cyclicals,2014-11-07,4.46,2014,2013
1367,Consumer Cyclicals,2014-11-07,1.12,2014,2013
6123,Industrials,2014-11-07,2.36,2014,2013
1432,Consumer Non-Cyclicals,2014-07-15,2.38,2014,2013
2399,Consumer Cyclicals,2014-07-16,1.0,2014,2013
1253,Industrials,2014-07-21,0.3670000000000001,2014,2013
1365,Consumer Cyclicals,2014-12-08,3.51,2014,2013
6166,Real Estate,2014-08-25,3.26,2014,2013
2221,Industrials,2014-09-19,1.16,2014,2013
1285,Consumer Non-Cyclicals,2014-09-25,3.89,2014,2013
1395,Utilities,2014-09-26,0.94,2014,2013
1347,Technology,2014-10-15,10.74,2014,2013
1462,Industrials,2014-10-16,0.1,2014,2013
