Name,Economic Sector,2013,2014,2015,2016,2017,2018
700,Technology,920999.7,1054200.0,1434098.0,1797760.0,3856589.0,2989375.0
3690,Technology,,,,,,208838.6
939,Financials,1406440.0,1531457.0,1276615.0,1435290.0,1731004.0,1553095.0
941,Technology,1616244.0,1849676.0,1791603.0,1683083.0,1622680.0,1542826.0
1299,Financials,468511.4,519746.6,561453.1,527469.7,804767.6,785008.5
5,Financials,1584530.0,1422006.0,1218493.0,1236642.0,1598634.0,1298302.0
388,Financials,150183.8,200573.9,239894.6,224295.9,297306.1,283393.4
1810,Technology,,,,,,218751.6
883,Energy,643815.8,466119.1,360304.6,433079.9,500944.1,540233.8
1876,Consumer Non-Cyclicals,,,,,,
6862,Consumer Cyclicals,,,,,,90947.94
16,Real Estate,265991.2,333983.1,270820.7,283754.5,377735.8,323323.3
241,Healthcare,2082.01,41598.75,43805.32,31911.48,37077.84,74155.88
1109,Real Estate,112064.5,119248.3,156639.2,120875.6,159411.6,208621.3
27,Consumer Cyclicals,293480.5,185289.3,104174.9,144369.1,270059.3,215384.8
960,Real Estate,58986.17,58031.23,67441.25,57477.65,115668.2,138960.2
1928,Consumer Cyclicals,510803.1,307782.6,214239.9,271988.0,325767.7,277164.7
2269,Healthcare,,,,,50825.91,61480.92
2388,Financials,262733.4,274363.5,250574.8,293394.6,418682.1,307667.9
708,Real Estate,241.92,3067.2,20044.8,12700.8,26697.61,88991.94
688,Real Estate,178162.9,188410.0,268207.6,225149.9,275548.3,294721.7
11,Financials,240318.6,247010.0,281996.8,275878.9,370897.5,336101.9
66,Industrials,170187.1,185283.8,224955.9,222612.0,275118.4,252946.8
2020,Consumer Cyclicals,23955.36,34207.98,53273.84,57930.3,95167.0,100818.1
3333,Real Estate,47497.79,45809.62,95384.69,66121.31,354739.4,307618.6
267,Financials,43282.39,329221.8,399118.3,322901.8,328138.0,357228.3
2007,Real Estate,86381.31,63090.64,71829.81,93773.19,317070.3,206285.7
3692,Healthcare,,,,,,
3,Utilities,169970.9,186694.6,175726.4,174732.1,214290.7,249259.7
762,Technology,275868.5,249048.3,226299.8,216242.0,323116.2,255800.3
1,Financials,283498.5,301796.3,403721.6,339089.7,378438.1,289989.3
2,Utilities,154871.4,169903.8,166366.8,180009.6,201989.7,223590.9
2313,Consumer Cyclicals,40710.91,35814.43,62325.47,68620.94,111839.8,133411.0
1177,Healthcare,30389.98,34738.46,52330.04,40470.56,102732.9,65051.07
6969,Technology,,,,,,
669,Industrials,40257.42,45783.65,57946.07,50982.34,93494.38,76066.5
6186,Consumer Non-Cyclicals,,,,,,
2319,Consumer Non-Cyclicals,67537.63,62674.9,49598.95,58632.11,91308.81,95836.0
291,Consumer Non-Cyclicals,61890.19,39322.98,40390.02,49960.26,90999.06,88728.19
1113,Real Estate,,,194527.6,181831.1,252539.1,211631.8
6098,Real Estate,,,,,,31100.01
175,Consumer Cyclicals,33005.42,21739.57,36352.2,65821.94,243100.9,123946.2
823,Real Estate,86889.38,111336.9,104369.8,112022.1,158753.3,167480.6
1918,Real Estate,15439.43,26685.5,20396.68,24879.24,142225.3,112356.4
